size,time_us,comparisons
100,28.8,781
200,104.06,1753
300,216.62,2349
400,208.96,3134
500,209.9,3871
600,234.4,4679
700,270.3,5438
800,314.42,6306
900,355.54,7127
1000,392.6,7896
1100,455.88,8676
1200,508.38,9534
1300,526.26,10302
1400,561.9,10982
1500,614.18,11722
1600,682.72,12424
1700,678.18,13120
1800,710.48,13837
1900,756.32,14594
2000,750.4,15352
2100,796.1,16092
2200,870.1,16927
2300,916.22,17684
2400,950.46,18398
2500,1021.98,19146
2600,994.02,19976
2700,1073.14,20682
2800,1110.5,21426
2900,1167.26,22188
3000,1175.04,22939
