size,time_us,comparisons
100,21.54,577
200,54.88,1496
300,73.96,730
400,135.96,1106
500,149.94,1525
600,169.04,1973
700,199.48,2421
800,203.9,2933
900,212.64,3472
1000,239.08,4022
1100,264.22,4611
1200,292.38,5122
1300,324.88,5739
1400,353.88,6299
1500,412.44,6902
1600,420.16,7560
1700,448.4,8293
1800,487.02,8882
1900,520.18,9483
2000,581.5,10111
2100,580.26,10820
2200,616.72,11452
2300,664.8,12203
2400,743.46,12904
2500,707.26,13569
2600,756.22,14324
2700,787.86,15051
2800,815.56,15634
2900,895.68,16320
3000,968.1,16983
