size,time_us,comparisons
100,47.6,1263
200,87.68,2410
300,227.16,5056
400,294.34,6796
500,344.2,8603
600,410.72,10317
700,491.54,12039
800,594.26,13838
900,687.3,15479
1000,795.1,17252
1100,872.88,19079
1200,949.76,20567
1300,1014.18,22263
1400,1080.02,23857
1500,1153.42,25398
1600,1203.18,27259
1700,1347.56,29075
1800,1367.18,30957
1900,1464.88,32572
2000,1503.1,34133
2100,1581.42,36059
2200,1688.94,37584
2300,1832.04,39377
2400,1845.08,41363
2500,1898.46,42817
2600,2018.7,44588
2700,2055.22,46287
2800,2151.74,47757
2900,2201.9,49563
3000,2348.1,51188
