size,time_us,comparisons
100,59.6,231
200,123.88,477
300,191.26,724
400,248.1,960
500,325.14,1193
600,397.88,1428
700,619.88,1670
800,702,1924
900,809.28,2165
1000,896.26,2403
1100,934.6,2640
1200,1006.28,2878
1300,1142.38,3129
1400,1194.16,3362
1500,1290.92,3597
1600,1369.46,3832
1700,1463.6,4075
1800,1548.54,4324
1900,1674.12,4572
2000,1730.42,4816
2100,1803.66,5042
2200,1953.28,5270
2300,1953.98,5506
2400,2038.8,5738
2500,2168.46,5969
2600,2252.28,6231
2700,2344.16,6470
2800,2433.2,6713
2900,2488.76,6954
3000,1949.58,7206
