size,time_us,comparisons
100,75.86,171
200,163.98,398
300,203.02,618
400,247.96,835
500,282.72,1048
600,326.68,1269
700,373.82,1498
800,407.68,1711
900,474.5,1941
1000,491.26,2165
1100,543.42,2396
1200,611.1,2643
1300,700.52,2892
1400,749.64,3140
1500,792.24,3379
1600,860.48,3636
1700,921.46,3881
1800,968.66,4117
1900,1089.4,4371
2000,1090.8,4614
2100,1154.64,4865
2200,1252.18,5131
2300,1338.14,5411
2400,1477.32,5667
2500,1503.14,5920
2600,1555.5,6182
2700,1691.1,6451
2800,1744.64,6729
2900,1789.08,6989
3000,1902.9,7259
