size,time_us,comparisons
100,65.36,237
200,131.38,475
300,186.14,715
400,344.06,952
500,658.38,1198
600,519.96,1437
700,628.94,1684
800,687.1,1924
900,804.6,2175
1000,867.84,2415
1100,963.74,2658
1200,1070.54,2896
1300,1137.74,3143
1400,1234.66,3385
1500,1285.86,3616
1600,1417.14,3860
1700,1458.84,4101
1800,1574.96,4345
1900,1658.24,4581
2000,1857.68,4818
2100,1887.44,5065
2200,1914.4,5310
2300,2011.74,5548
2400,2147.52,5790
2500,2185.68,6030
2600,2243.7,6278
2700,2363.54,6515
2800,2505.6,6754
2900,2718.88,6991
3000,2663.18,7225
