size,time_us,comparisons
100,161.36,668
200,349.38,1470
300,569.08,2416
400,817.98,3352
500,1073.96,4169
600,1251.72,5450
700,1629.06,6683
800,1834.54,7663
900,2010.68,8759
1000,2440.64,9654
1100,2612.16,11036
1200,2811.78,11946
1300,3082.36,13406
1400,3399.3,14578
1500,3676.34,15876
1600,3962.34,17053
1700,4127.46,18330
1800,4308.74,19138
1900,4781.32,20188
2000,4949.84,21051
2100,5338.38,22279
2200,5644.4,23866
2300,5876.74,24181
2400,6245.24,25822
2500,6378.86,26834
2600,6874.58,28438
2700,7420.46,30386
2800,7401.58,31445
2900,7560,32686
3000,7794.14,33842
