size,time_us,comparisons
100,187.88,597
200,399.78,1496
300,641.3,2511
400,1254.8,3682
500,1123.56,4875
600,1355.68,6089
700,1662.36,7430
800,1998.62,8802
900,2220.48,10167
1000,2875.06,11617
1100,3113.38,13000
1200,3224.4,14522
1300,3533.98,16028
1400,3764.02,17602
1500,4067.7,19150
1600,4420.02,20731
1700,4819.68,22337
1800,5004.34,23880
1900,5195.6,25576
2000,5466.98,27191
2100,5789.14,28829
2200,7039.7,30462
2300,6717.38,32194
2400,7540.32,33884
2500,7056.18,35641
2600,7445.96,37354
2700,8079.26,39101
2800,8245.72,40855
2900,8638.7,42665
3000,8973.2,44418
