size,time_us,comparisons
100,177.48,594
200,370.36,1300
300,571.6,2079
400,819,2813
500,1093.58,3754
600,1271.88,4444
700,1506.4,5263
800,1752.52,6128
900,2065.5,7009
1000,2326.7,8083
1100,2561.66,8767
1200,2785.8,9553
1300,3056.18,10412
1400,3407.42,11155
1500,3715.14,12161
1600,4068.02,13028
1700,4374.54,13945
1800,4817.74,15011
1900,5059.04,15968
2000,5398.52,17087
2100,5528.1,17947
2200,5847.92,18607
2300,6171.18,19396
2400,6395.28,20260
2500,6759.34,21194
2600,7077,22196
2700,7426.88,22886
2800,7577.62,23857
2900,7845.18,24598
3000,8650.52,25686
