size,time_us,comparisons
100,201.6,6790
200,585.1,23688
300,1426.58,50568
400,2128.58,87388
500,3228.94,133592
600,4628.5,189833
700,6178.2,256286
800,7986.12,333538
900,10107.6,419368
1000,9184.02,376656
1100,11792.8,483271
1200,14539.3,600231
1300,10298.9,434694
1400,13881.5,569681
1500,7675.48,335509
1600,11425.4,488767
1700,14841.3,619788
1800,12120.5,517902
1900,16863.4,704776
2000,21820.7,901318
2100,26787.9,1107821
2200,32329,1324583
2300,37654.1,1551125
2400,44073.8,1787391
2500,49242,2033864
2600,15911.1,710326
2700,22418.8,974443
2800,21513.3,917679
2900,28171.4,1204702
3000,22700.3,1047948
