size,time_us,comparisons
100,68.24,641
200,154.76,1723
300,279.54,3399
400,245.78,4651
500,298.3,6183
600,530.4,7905
700,418.52,9136
800,409.88,9678
900,553.34,13150
1000,686.74,16084
1100,1009.14,15193
1200,694.98,17949
1300,878.62,19704
1400,944.7,22023
1500,866.38,22748
1600,939.22,25069
1700,955.96,26248
1800,1108.78,30615
1900,1101.08,30409
2000,1271.24,35049
2100,1258.38,34928
2200,1405.88,39047
2300,1442.48,39527
2400,1392.22,40142
2500,1553.52,43742
2600,1518.66,44374
2700,1663.56,47901
2800,1824.36,47774
2900,2145.6,55407
3000,2145.32,57222
