size,time_us,comparisons
100,154,6876
200,537.46,23502
300,1096.14,50642
400,1895.8,87602
500,3005.3,134595
600,4178.06,191519
700,5732.24,258559
800,7472.5,335829
900,9339.72,422812
1000,12306.6,519818
1100,13982.7,626953
1200,16601.7,743656
1300,19570.2,870573
1400,22578.2,1007567
1500,26003.6,1154251
1600,29626.6,1311489
1700,33161.6,1478786
1800,37096,1656006
1900,41416.7,1842897
2000,45797.1,2039700
2100,50185.1,2247019
2200,55341.7,2463766
2300,60185.3,2690835
2400,65852.1,2928074
2500,71620.1,3174796
2600,76743.9,3432031
2700,82597.8,3698883
2800,90068.1,3975589
2900,95139.4,4262684
3000,102648,4559469
