size,time_us,comparisons
100,70.88,347
200,144.04,696
300,234.4,1091
400,282.3,1430
500,364.42,1865
600,433.7,2183
700,515.32,2578
800,614.8,2910
900,657.72,3347
1000,730.44,3846
1100,873.88,4111
1200,928.76,4434
1300,941.48,4921
1400,1010.5,5204
1500,1828.96,5654
1600,1211.98,6027
1700,1261.14,6505
1800,1338.94,6909
1900,1401.48,7297
2000,1488.36,7867
2100,1573.4,8236
2200,1689.62,8461
2300,1707.9,8775
2400,1858.82,9125
2500,1904.28,9481
2600,1981.42,9937
2700,2017.14,10224
2800,2181.6,10732
2900,2218.32,11062
3000,2395.4,11573
