size,time_us,comparisons
100,88.22,519
200,182.66,1175
300,248.42,1912
400,331.34,2729
500,444.42,3522
600,517.52,4361
700,618.5,5235
800,698,6141
900,827.74,7006
1000,922.9,7933
1100,975.86,8806
1200,1119.44,9807
1300,1885.88,10700
1400,1279.48,11694
1500,1333.44,12691
1600,1586.14,13641
1700,1545.16,14544
1800,1701.62,15522
1900,1809.36,16552
2000,1872.44,17526
2100,2009.3,18549
2200,2237.72,19481
2300,2508.1,20563
2400,2586.08,21604
2500,3338.68,22663
2600,2716.68,23652
2700,2943.02,24641
2800,2854.42,25771
2900,3199.04,26789
3000,3089.7,27866
