size,time_us,comparisons
100,110.78,381
200,194.38,778
300,255.86,1199
400,335.84,1559
500,421.78,1891
600,521.78,2388
700,553.68,2760
800,930.84,3178
900,889.9,3491
1000,739.86,3885
1100,1636.44,4268
1200,1656.98,4778
1300,1160.94,5171
1400,1424.5,5537
1500,1219.2,5950
1600,1246.62,6385
1700,1365.74,6710
1800,1423.6,7070
1900,1739.66,7383
2000,1591.66,7753
2100,1773.02,7979
2200,1802.16,8576
2300,1925.92,9023
2400,1990.58,9605
2500,2051.02,10001
2600,2151.36,10492
2700,2188.5,10801
2800,3928.82,11256
2900,2446.96,11504
3000,2468.56,11991
