size,time_us,comparisons
100,26.54,781
200,61.08,1753
300,106.18,2989
400,155.9,4461
500,201.18,6224
600,267.64,8226
700,347.38,10593
800,437.96,13186
900,584.5,16157
1000,625.06,18503
1100,660.68,19744
1200,715.62,21208
1300,860.62,22841
1400,926.1,24784
1500,1003.38,27078
1600,1157.4,29677
1700,1248.68,32617
1800,1414.1,36094
1900,1502.08,39727
2000,1747.72,43823
2100,1835.88,47724
2200,2029.58,52454
2300,2150.86,56744
2400,2434.02,61249
2500,2577.12,66062
2600,2596.74,69922
2700,2803.28,75158
2800,3070.66,79751
2900,3257.58,85254
3000,3560,90646
