size,time_us,comparisons
100,22.44,577
200,142.58,1496
300,232,2345
400,217.84,3239
500,155.42,4354
600,180.64,4959
700,219.3,6021
800,272.52,7601
900,304.42,8418
1000,364.1,10200
1100,389.86,10840
1200,549.38,12135
1300,586.22,14421
1400,569.4,13776
1500,640.22,16032
1600,756.08,17967
1700,775.06,19325
1800,765.84,18745
1900,844.8,20848
2000,911.14,22347
2100,1161.68,28963
2200,987.92,22888
2300,1106.68,26504
2400,1094.44,27472
2500,1101.9,27135
2600,1188.68,28361
2700,1282.42,29949
2800,1366.86,32899
2900,1302.22,31940
3000,1557.16,37012
