size,time_us,comparisons
100,48.58,1263
200,87.9,2410
300,158.9,4361
400,247.12,6677
500,309.82,8624
600,412.18,11280
700,509.9,13689
800,650.86,17846
900,745.3,20569
1000,899.06,23841
1100,1005.58,27366
1200,1178.36,31810
1300,1346.48,34936
1400,1452.22,39324
1500,1669.5,44622
1600,1752.6,49811
1700,1858.3,55081
1800,2572.52,60712
1900,2243.76,65600
2000,2485.2,71843
2100,3036.08,78598
2200,3160.2,83646
2300,3172.78,90737
2400,3637.36,99168
2500,3661.18,105184
2600,4105.46,112189
2700,5136.22,120683
2800,6689.26,128268
2900,5872,136172
3000,6191.66,146713
